participant	condition	fac_1	fac_2	rating	item	context	f1_BAD_0auch_m	f2_BAD_1auch_f	f3_bad_0auch_f	f4_bad_1auch_m	f5_GOOD_1auch_f	f6_GOOD_1auch_m	f7_GOOD_0auch_m	f8_GOOD_1auch_f	f9_good_1auch_f	f10_good_1auch_m	f11_good_0auch_f	f12_good_1auch_m	f13_good_0auch_f	f14_good_1auch_m	f15_good_0auch_m	f16_good_1auch_f
509	cd4_com_-n	com	-n	5	52_cd4_ct13	ct13	1	3	1	1	6	5	5	3	3	3	5	5	5	4	5	4
510	cd1_ass_+n	ass	+n	1	17_cd1_ct05	ct05	1	1	1	1	6	6	5	6	5	3	1	2	1	1	2	2
510	cd1_ass_+n	ass	+n	1	53_cd1_ct14	ct14	1	1	1	1	6	6	5	6	5	3	1	2	1	1	2	2
510	cd2_ass_-n	ass	-n	1	10_cd2_ct03	ct03	1	1	1	1	6	6	5	6	5	3	1	2	1	1	2	2
510	cd2_ass_-n	ass	-n	3	46_cd2_ct12	ct12	1	1	1	1	6	6	5	6	5	3	1	2	1	1	2	2
510	cd3_com_+n	com	+n	2	3_cd3_ct01	ct01	1	1	1	1	6	6	5	6	5	3	1	2	1	1	2	2
510	cd3_com_+n	com	+n	1	39_cd3_ct10	ct10	1	1	1	1	6	6	5	6	5	3	1	2	1	1	2	2
510	cd4_com_-n	com	-n	2	32_cd4_ct08	ct08	1	1	1	1	6	6	5	6	5	3	1	2	1	1	2	2
510	cd4_com_-n	com	-n	2	60_cd4_ct15	ct15	1	1	1	1	6	6	5	6	5	3	1	2	1	1	2	2
512	cd1_ass_+n	ass	+n	1	21_cd1_ct06	ct06	1	5	1	1	6	6	6	6	6	4	6	5	4	6	4	3
512	cd1_ass_+n	ass	+n	1	49_cd1_ct13	ct13	1	5	1	1	6	6	6	6	6	4	6	5	4	6	4	3
512	cd2_ass_-n	ass	-n	2	14_cd2_ct04	ct04	1	5	1	1	6	6	6	6	6	4	6	5	4	6	4	3
512	cd2_ass_-n	ass	-n	1	42_cd2_ct11	ct11	1	5	1	1	6	6	6	6	6	4	6	5	4	6	4	3
512	cd3_com_+n	com	+n	4	7_cd3_ct02	ct02	1	5	1	1	6	6	6	6	6	4	6	5	4	6	4	3
512	cd3_com_+n	com	+n	5	35_cd3_ct09	ct09	1	5	1	1	6	6	6	6	6	4	6	5	4	6	4	3
512	cd4_com_-n	com	-n	2	28_cd4_ct07	ct07	1	5	1	1	6	6	6	6	6	4	6	5	4	6	4	3
512	cd4_com_-n	com	-n	1	64_cd4_ct16	ct16	1	5	1	1	6	6	6	6	6	4	6	5	4	6	4	3
519	cd1_ass_+n	ass	+n	2	1_cd1_ct01	ct01	5	6	6	6	6	6	4	6	6	6	6	1	6	1	6	6
519	cd1_ass_+n	ass	+n	2	37_cd1_ct10	ct10	5	6	6	6	6	6	4	6	6	6	6	1	6	1	6	6
519	cd2_ass_-n	ass	-n	2	30_cd2_ct08	ct08	5	6	6	6	6	6	4	6	6	6	6	1	6	1	6	6
519	cd2_ass_-n	ass	-n	2	58_cd2_ct15	ct15	5	6	6	6	6	6	4	6	6	6	6	1	6	1	6	6
519	cd3_com_+n	com	+n	6	23_cd3_ct06	ct06	5	6	6	6	6	6	4	6	6	6	6	1	6	1	6	6
519	cd3_com_+n	com	+n	6	51_cd3_ct13	ct13	5	6	6	6	6	6	4	6	6	6	6	1	6	1	6	6
519	cd4_com_-n	com	-n	6	16_cd4_ct04	ct04	5	6	6	6	6	6	4	6	6	6	6	1	6	1	6	6
519	cd4_com_-n	com	-n	6	44_cd4_ct11	ct11	5	6	6	6	6	6	4	6	6	6	6	1	6	1	6	6
521	cd1_ass_+n	ass	+n	1	5_cd1_ct02	ct02	1	1	1	1	6	6	6	6	6	6	6	4	6	4	6	6
521	cd1_ass_+n	ass	+n	1	33_cd1_ct09	ct09	1	1	1	1	6	6	6	6	6	6	6	4	6	4	6	6
521	cd2_ass_-n	ass	-n	1	26_cd2_ct07	ct07	1	1	1	1	6	6	6	6	6	6	6	4	6	4	6	6
521	cd2_ass_-n	ass	-n	1	62_cd2_ct16	ct16	1	1	1	1	6	6	6	6	6	6	6	4	6	4	6	6
521	cd3_com_+n	com	+n	1	19_cd3_ct05	ct05	1	1	1	1	6	6	6	6	6	6	6	4	6	4	6	6
521	cd3_com_+n	com	+n	1	55_cd3_ct14	ct14	1	1	1	1	6	6	6	6	6	6	6	4	6	4	6	6
521	cd4_com_-n	com	-n	1	12_cd4_ct03	ct03	1	1	1	1	6	6	6	6	6	6	6	4	6	4	6	6
521	cd4_com_-n	com	-n	1	48_cd4_ct12	ct12	1	1	1	1	6	6	6	6	6	6	6	4	6	4	6	6
522	cd1_ass_+n	ass	+n	1	5_cd1_ct02	ct02	1	1	1	1	1	6	1	1	6	6	6	1	6	1	6	6
522	cd1_ass_+n	ass	+n	1	33_cd1_ct09	ct09	1	1	1	1	1	6	1	1	6	6	6	1	6	1	6	6
522	cd2_ass_-n	ass	-n	1	26_cd2_ct07	ct07	1	1	1	1	1	6	1	1	6	6	6	1	6	1	6	6
522	cd2_ass_-n	ass	-n	1	62_cd2_ct16	ct16	1	1	1	1	1	6	1	1	6	6	6	1	6	1	6	6
522	cd3_com_+n	com	+n	6	19_cd3_ct05	ct05	1	1	1	1	1	6	1	1	6	6	6	1	6	1	6	6
